run,type,module,name,attrname,attrvalue,value
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[10].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[10].**.initialZ,"560.55m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[11].**.initialX,"1528.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[11].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[11].**.initialZ,"605m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[12].**.initialX,"1497.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[12].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[12].**.initialZ,"611.9m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[13].**.initialX,"1504.2m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[13].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[13].**.initialZ,"626.72m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[14].**.initialX,"1527.3m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[14].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.loRaGW[14].**.initialZ,"646.7m + uniform(-0.30m,0.30m)",
General-7-20210504-14:42:26-3803,param,,,**.networkServer.numUdpApps,1,
General-7-20210504-14:42:26-3803,param,,,**.networkServer.**.evaluateADRinServer,false,
General-7-20210504-14:42:26-3803,param,,,**.networkServer.udpApp[0].typename,"""NetworkServerApp""",
General-7-20210504-14:42:26-3803,param,,,**.networkServer.udpApp[0].destAddresses,"""loRaGW[*]""",
General-7-20210504-14:42:26-3803,param,,,**.networkServer.udpApp[0].destPort,2000,
General-7-20210504-14:42:26-3803,param,,,**.networkServer.udpApp[0].localPort,1000,
General-7-20210504-14:42:26-3803,param,,,**.networkServer.udpApp[0].adrMethod,"""avg""",
General-7-20210504-14:42:26-3803,param,,,**.numberOfPacketsToSend,0,
General-7-20210504-14:42:26-3803,param,,,**.timeToFirstPacket,exponential(100s),
General-7-20210504-14:42:26-3803,param,,,**.timeToNextPacket,exponential(100s),
General-7-20210504-14:42:26-3803,param,,,**.alohaChannelModel,false,
General-7-20210504-14:42:26-3803,param,,,**.numberOfNodes,1,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].**.initFromDisplayString,false,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].**.evaluateADRinNode,false,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].**initialLoRaSF,12,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].**initialLoRaBW,125 kHz,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].**initialLoRaCR,5,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].**initialLoRaTP,14 dBm,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[0].**.initialX,1549.14m,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[0].**.initialY,15m,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[0].**.initialZ,620.8m,
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].LoRaNic.radio.energyConsumerType,"""LoRaEnergyConsumer""",
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].**.energySourceModule,"""IdealEpEnergyStorage""",
General-7-20210504-14:42:26-3803,param,,,**.loRaNodes[*].LoRaNic.radio.energyConsumer.configFile,"xmldoc(""energyConsumptionParameters.xml"")",
General-7-20210504-14:42:26-3803,param,,,**.sigma,0,
General-7-20210504-14:42:26-3803,param,,,**.constraintAreaMinX,0m,
General-7-20210504-14:42:26-3803,param,,,**.constraintAreaMinY,0m,
General-7-20210504-14:42:26-3803,param,,,**.constraintAreaMinZ,0m,
General-7-20210504-14:42:26-3803,param,,,**.constraintAreaMaxX,3000m,
General-7-20210504-14:42:26-3803,param,,,**.constraintAreaMaxY,3000m,
General-7-20210504-14:42:26-3803,param,,,**.constraintAreaMaxZ,3000m,
General-7-20210504-14:42:26-3803,param,,,CartagenaOPAL.**.radio.separateTransmissionParts,false,
General-7-20210504-14:42:26-3803,param,,,CartagenaOPAL.**.radio.separateReceptionParts,false,
General-7-20210504-14:42:26-3803,param,,,**.delayer.config,"xmldoc(""cloudDelays.xml"")",
General-7-20210504-14:42:26-3803,param,,,**.radio.radioMediumModule,"""OpalLoRaRadioMedium""",
General-7-20210504-14:42:26-3803,param,,,**.minInterferenceTime,0s,
General-7-20210504-14:42:26-3803,param,,,**.displayAddresses,false,
